0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
   package yellow cake mix, butter,melted,eggs,vanilla extract,  package cream cheese,eggs,vanilla extract,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar, shortening, salt,egg,   cake compressed fresh yeast, warm milk, allpurpose flour,vanilla extract, white sugar,butter, salt,egg, light corn syrup, allpurpose flour, water,vanilla extract, confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
graham cracker crumbs, ground pecans, cake flour,baking powder, salt,unsalted butter,softened,packed light brown sugar,egg yolks,,vanilla extract,milk,lukewarm,egg whites,, white sugar,white sugar, unsalted butter,softened, packed dark brown sugar, heavy whipping cream, confectioners ' sugar, pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs,   package graham cracker crumbs,baking powder, milk,flaked coconut,pecans, butter,  package cream cheese,confectioners ' sugar,  can pineapple,drained,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 graham crackers,white sugar, butter,softened,egg yolks,vanilla extract, ground cinnamon,allpurpose flour,baking powder,milk,walnuts, cream cheese,softened, butter,softened,vanilla extract,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 graham cracker crumbs, walnuts, packed brown sugar, ground cinnamon, butter,melted,   package yellow cake mix,water, vegetable oil,eggs,confectioners ' sugar, vanilla extract, butter flavored extract  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,eggs,bananas,,sour cream,baking soda,allpurpose flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package lime flavored JellO mix, boiling water, cold water,   envelopes whipped topping mix,  package instant lemon pudding mix, milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,water,   envelope dry whipped topping mix  such as Dream Whip ,   package yellow cake mix, poppy seeds,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package buttery round crackers,,butter,melted, white sugar, gallon vanilla ice cream,softened, milk,   packages instant vanilla pudding mix,   container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
water, raisins,allpurpose flour,ground cinnamon, baking powder,baking soda, salt,pecan halves,allpurpose flour,white sugar, canola oil,eggs,beaten,candied fruit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, salt, baking soda,white sugar,shortening,buttermilk,eggs,lemon extract,vanilla extract,butterflavored extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Prune Cake ,Sunsweet Amaz  n Prunes,pitted, allpurpose flour,ground cinnamon,ground cloves,ground nutmeg,granulated sugar,eggs,butter,Sunsweet Amaz  n Prune Juice,baking soda,Sauce , butter,granulated sugar,white corn syrup or honey, whipping cream, baking soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar, butter,softened,eggs, honey,allpurpose flour, baking powder, baking soda,strong brewed coffee,almonds,raisins,orange zest,vanilla extract,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
rolled oats, boiling water, butter,white sugar,packed brown sugar,eggs, allpurpose flour,baking soda, salt,ground cinnamon, ground nutmeg,vanilla extract,melted butter, packed brown sugar, evaporated milk, flaked coconut, walnuts,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking soda,ground cinnamon,white sugar,vegetable oil,eggs,vanilla extract,walnuts,   can pineapple,drained,carrots,,flaked coconut, butter,white sugar, buttermilk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,unsweetened cocoa powder,white sugar,baking soda,baking powder, salt,nonfat milk,  jars pureed prunes baby food,vanilla extract,egg whites,strong brewed coffee,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,baking soda,baking powder, salt,white sugar, orange juice,eggs,buttermilk,cranberryflavored liqueur, vegetable oil,dates,fresh cranberries,orange zest,orange juice, white sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking soda,ground cinnamon, salt,white sugar,egg, vegetable oil,apple ,cored,and, walnuts, raisins or dates,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package chocolate cake mix, milk,allpurpose flour, butter,shortening, white sugar,vanilla extract, unsweetened cocoa powder,pinch salt,white sugar, milk, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,sour cream,eggs, vegetable oil,brown sugar, ground cinnamon,confectioners ' sugar, milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs, selfrising flour,milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, brown sugar,packed,pineapple rings,pecan halves,allpurpose flour,baking powder, salt, white sugar,eggs, pineapple juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,eggs,,vanilla extract,allpurpose flour, baking soda, salt,pinch ground mace,sour cream,confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,ground cinnamon,baking powder,baking soda, salt, ground cloves,eggs,vegetable oil,applesauce, walnuts, raisins, brown sugar,walnuts,chocolate chips,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
raisins, water,egg,allpurpose flour,white sugar,baking soda,ground cinnamon,ground nutmeg,ground cloves,boiling water, vanilla extract, butter,melted,confectioners ' sugar, milk,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   package instant vanilla pudding mix, vegetable oil, water,eggs,butter flavored extract,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs,allpurpose flour, milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar, unsweetened cocoa powder,baking soda,baking powder,pinch salt,milk, vegetable oil,vanilla extract,hot,brewed coffee,eggs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,   can pineapple with juice,allpurpose flour,white sugar,baking soda,salt,vanilla extract, packed light brown sugar, walnuts, butter, white sugar, evaporated milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar,   can pineapple,with juice,cake flour,baking soda,brown sugar, butter, evaporated milk,white sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,butter,softened,eggs, cold brewed coffee,unsweetened cocoa powder,buttermilk,baking soda, allpurpose flour,butter,softened,   package confectioners ' sugar,sifted, cold brewed coffee, unsweetened cocoa powder,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
rhubarb, white sugar, brown sugar,sour cream, butter,softened,egg,vanilla extract, allpurpose flour,baking soda,white sugar,or to taste,pinch ground nutmeg,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking powder, cinnamon,baking soda, ground nutmeg, ground ginger, Heinz Tomato Ketchup, water,red food colouring, butter,softened, packed dark brown sugar,eggs,Frosting,brickstyle cream cheese,softened, butter,softened,vanilla extract,icing sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 bittersweet chocolate, butter,eggs, allpurpose flour,water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, baking powder, salt, ground cinnamon,orange zest, butter, white sugar,eggs, milk,walnuts,white sugar,honey, water,lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour,baking soda, salt,eggs,white sugar,butter,softened,lemon zest,lemon juice,plain yogurt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   can pineapple,   package instant pistachio pudding mix,  container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs, white sugar,honey,or to taste, allpurpose flour,baking powder,green tea powder  matcha , cold water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,cake flour,baking soda,salt,powdered green tea, white sugar,vegetable oil,eggs,plain yogurt, vanilla extract, confectioners ' sugar,powdered green tea,butter,softened,  package cream cheese,softened, vanilla extract, milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
green tomatoes,salt, butter,white sugar,eggs,allpurpose flour,ground cinnamon,ground nutmeg,baking soda, salt, raisins, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sifted allpurpose flour, baking powder, salt, white sugar,unsalted butter  chilled,into tablespoonsize pieces, lime zest,ground nutmeg, ground cinnamon, ground allspice,eggs, milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 brown sugar,butter,pineapple ring,maraschino cherry,shortcake shell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
raisins,finely,golden raisins,dried currants, candied citron, candied lemon peel, candied orange peel, allpurpose flour,ground cinnamon,ground allspice, ground mace,ground nutmeg,butter, packed brown sugar, eggs,separated,brandy,  squares semisweet chocolate,molasses, baking soda,hot water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar, unsalted butter,eggs,separated,allpurpose flour,baking powder, baking soda, salt, whole milk,almond extract, cream of tartar,white sugar,   can sweetened condensed milk,  fluid  can evaporated milk,whole milk,heavy whipping cream, white sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, butter,softened,finely walnuts,  package cream cheese,softened,confectioners ' sugar,  container frozen whipped topping,thawed,divided,   packages instant chocolate pudding mix,milk,vanilla extract,   bar chocolate candy bar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,butter,eggs,guava pulp, guava nectar,cake flour,ground nutmeg, baking soda, ground cloves, ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, white sugar,baking powder,salt, vegetable oil, water,fluid guava nectar,egg yolks,vanilla extract,lemon zest,drops red food coloring,egg whites, cream of tartar, white sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Irish stout beer  such as Guinness ,unsalted butter,,white sugar, unsweetened cocoa powder, sour cream,eggs,vanilla extract, allpurpose flour,sifted, baking soda,Frosting , butter,softened,  package cream cheese,softened,vanilla extract,confectioners ' sugar,sifted,Irish cream liqueur,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,eggs,warm water   degrees F degrees C , allpurpose flour, baking powder, salt,lemon extract,vanilla extract,gumdrops,,raisins, allpurpose flour for coating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
apple cider vinegar, milk, white sugar, vegetable shortening,eggs, allpurpose flour,unsweetened cocoa powder, baking powder,ground cinnamon, ground nutmeg, salt,vanilla extract,lemon extract, butter or margarine,softened,egg yolk, salt, confectioners ' sugar,hot water,unsweetened cocoa powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, white sugar,baking powder, raisins, milk,packed brown sugar,boiling water,butter,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour,baking soda,salt, white sugar, shortening,buttermilk,egg whites,  squares unsweetened chocolate,melted,butter, butter,softened, orange zest,lemon zest, salt,egg yolk,sifted confectioners ' sugar,orange juice,lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
finely cooked ham, cold mashed potatoes,green onions,finely,egg,Dijon mustard, dried dill weed, salt, ground black pepper, panko bread crumbs,divided, vegetable oil for frying,or as needed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,   package chocolate cake mix,yellow paste food coloring,brown paste food coloring, prepared chocolate frosting, orange chewy fruitflavored candy squares, leafshaped spearmint gumdrops,red gumdrops,white gumdrops,candy lime slices,sesame seeds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,white sugar,vanilla extract,eggs,baking powder,allpurpose flour,milk,pinch salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   package instant vanilla pudding mix,eggs, vegetable oil,fluid Galliano liqueur,fluid vodka, orange juice,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened,eggs,allpurpose flour, unsweetened cocoa powder,baking soda, baking powder, salt,granulated sugar,vanilla extract, milk,ChocolateSour Cream Frosting ,   package semisweet chocolate chips, butter,sour cream, sifted powdered sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,white sugar,eggs, salt,baking soda,   can pineapple,drained, unsweetened pineapple juice,   package flaked coconut,walnuts,vanilla extract,   package graham crackers,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,water,eggs, vegetable oil,   package instant coconut cream pudding mix,rumflavored extract,  can pineapple,undrained,flaked coconut,   package instant coconut cream pudding mix, milk,  container extracreamy frozen whipped topping,thawed, flaked coconut,coconut extract,rumflavored extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,melted, brown sugar,canned pineapple rings  drain and reserve juice , macadamia nuts, flaked coconut,divided,canned pineapple rings,, maraschino cherries, reserved pineapple juice, coconut water, vegetable oil,eggs,ripe banana,mashed,   package white cake mix,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 white sugar,baking soda,allpurpose flour,eggs,   can pineapple with juice,walnuts, flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   cans pineapple,drained,   package instant vanilla pudding mix,  package cream cheese,  container frozen whipped topping,thawed, flaked coconut, walnuts,    jar maraschino cherries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   can pineapple with juice,   packages instant vanilla pudding mix,  container frozen whipped topping,thawed,milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
unsweetened cocoa,hot water,white sugar,shortening,melted,egg,vanilla extract,sour milk,allpurpose flour,baking soda,salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs, vegetable oil, white sugar,vanilla extract,whole wheat pastry flour,baking soda,baking powder, salt,ground cinnamon,carrots,pecans, butter,softened,  package Neufchatel cheese,softened,confectioners ' sugar,vanilla extract,pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,eggs,vanilla extract, whole wheat pastry flour, baking powder, lowfat    milk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package natural chocolate cake mix,   package instant chocolate pudding mix,lowfat sour cream, vegetable oil,eggs,beaten, warm water,semisweet chocolate chips,confectioner 's sugar for dusting on top of cooled cake  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,mashed,allpurpose flour,cocoa powder,honey,egg, milk,baking soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oatmeal , rolled oats,unsweetened cocoa powder,ground flax seed, maple syrup, vanilla extract,pinch salt,, honey,coconut oil,pecans,unsweetened flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 agave nectar, unsweetened applesauce, raw sugar,eggs,beaten,sunflower seed oil,vanilla extract, allpurpose flour, unsweetened cocoa powder, coconut flour, baking soda,salt,shredded zucchini, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
